id,label,predicted_label,correct
4098,no_smell,no_smell,True
4100,no_smell,no_smell,True
4103,no_smell,no_smell,True
4109,no_smell,no_smell,True
4110,no_smell,no_smell,True
4111,no_smell,no_smell,True
4115,smell,no_smell,False
4116,no_smell,no_smell,True
4117,no_smell,no_smell,True
4120,no_smell,no_smell,True
4121,smell,no_smell,False
4122,smell,no_smell,False
4123,no_smell,no_smell,True
4128,no_smell,no_smell,True
4129,no_smell,no_smell,True
4132,smell,no_smell,False
4134,smell,no_smell,False
39,no_smell,no_smell,True
4137,no_smell,no_smell,True
4139,smell,no_smell,False
4143,no_smell,no_smell,True
4144,no_smell,no_smell,True
4145,no_smell,smell,False
4146,no_smell,no_smell,True
4147,no_smell,no_smell,True
4150,no_smell,no_smell,True
4151,no_smell,no_smell,True
4154,no_smell,no_smell,True
4156,no_smell,no_smell,True
4159,smell,no_smell,False
4163,no_smell,no_smell,True
4164,no_smell,no_smell,True
4165,no_smell,no_smell,True
4166,no_smell,no_smell,True
4167,no_smell,no_smell,True
4176,no_smell,no_smell,True
4177,no_smell,no_smell,True
83,no_smell,no_smell,True
4180,no_smell,no_smell,True
2133,no_smell,no_smell,True
86,smell,no_smell,False
4186,smell,no_smell,False
4187,no_smell,no_smell,True
4190,no_smell,no_smell,True
4191,no_smell,no_smell,True
4192,no_smell,no_smell,True
4193,no_smell,no_smell,True
4194,no_smell,no_smell,True
4196,no_smell,no_smell,True
4198,no_smell,no_smell,True
4199,no_smell,no_smell,True
4200,no_smell,no_smell,True
2154,no_smell,no_smell,True
4218,no_smell,no_smell,True
4219,no_smell,no_smell,True
4220,no_smell,no_smell,True
4222,no_smell,no_smell,True
4223,no_smell,no_smell,True
4227,no_smell,no_smell,True
4228,no_smell,no_smell,True
4230,no_smell,no_smell,True
4231,smell,no_smell,False
135,no_smell,no_smell,True
4233,no_smell,no_smell,True
4234,no_smell,no_smell,True
4237,no_smell,no_smell,True
4239,no_smell,no_smell,True
4241,no_smell,no_smell,True
4242,no_smell,no_smell,True
4243,no_smell,no_smell,True
4244,no_smell,no_smell,True
4245,no_smell,no_smell,True
4247,no_smell,no_smell,True
4251,no_smell,no_smell,True
4254,no_smell,no_smell,True
4255,no_smell,no_smell,True
4256,no_smell,no_smell,True
4258,smell,no_smell,False
4261,no_smell,no_smell,True
4262,no_smell,no_smell,True
4263,no_smell,no_smell,True
2216,no_smell,no_smell,True
4267,no_smell,smell,False
4271,smell,no_smell,False
4272,no_smell,no_smell,True
4274,no_smell,no_smell,True
4275,no_smell,no_smell,True
4276,no_smell,no_smell,True
4278,no_smell,no_smell,True
4282,smell,no_smell,False
4285,no_smell,no_smell,True
4286,no_smell,no_smell,True
4287,no_smell,no_smell,True
2239,smell,no_smell,False
191,smell,no_smell,False
4292,no_smell,no_smell,True
4295,smell,no_smell,False
4296,no_smell,no_smell,True
4302,no_smell,no_smell,True
4305,no_smell,no_smell,True
4306,no_smell,no_smell,True
4308,no_smell,no_smell,True
4310,no_smell,no_smell,True
4311,no_smell,no_smell,True
4313,no_smell,no_smell,True
4314,no_smell,no_smell,True
4315,no_smell,no_smell,True
4316,no_smell,no_smell,True
4320,no_smell,no_smell,True
4326,no_smell,no_smell,True
4328,no_smell,no_smell,True
4329,no_smell,no_smell,True
4331,no_smell,no_smell,True
4334,no_smell,no_smell,True
4337,no_smell,no_smell,True
2298,no_smell,no_smell,True
4347,no_smell,no_smell,True
4349,no_smell,no_smell,True
4350,no_smell,no_smell,True
4351,no_smell,no_smell,True
4352,no_smell,no_smell,True
4354,no_smell,no_smell,True
4355,no_smell,no_smell,True
4356,smell,no_smell,False
4358,smell,no_smell,False
2316,no_smell,no_smell,True
4375,no_smell,no_smell,True
4377,no_smell,no_smell,True
4384,no_smell,no_smell,True
4386,no_smell,no_smell,True
291,smell,no_smell,False
4390,no_smell,no_smell,True
4392,no_smell,no_smell,True
297,smell,no_smell,False
4398,no_smell,no_smell,True
4399,no_smell,no_smell,True
303,no_smell,no_smell,True
4401,no_smell,no_smell,True
4404,no_smell,no_smell,True
4405,no_smell,no_smell,True
2357,no_smell,no_smell,True
4408,no_smell,no_smell,True
4410,smell,no_smell,False
4411,no_smell,no_smell,True
4412,no_smell,no_smell,True
2365,no_smell,no_smell,True
2373,no_smell,no_smell,True
327,no_smell,no_smell,True
2381,smell,no_smell,False
2390,no_smell,no_smell,True
4447,smell,smell,True
2399,no_smell,no_smell,True
359,no_smell,no_smell,True
2421,no_smell,no_smell,True
2422,no_smell,no_smell,True
4479,no_smell,no_smell,True
2433,no_smell,no_smell,True
4485,no_smell,no_smell,True
